NOTES;ENGLISH;FRANÇAIS;DEUTSCH;ESPAÑOL;ITALIANO;PORTUGUÊS(BR);РУССКИЙ;POLSKI;JAPANESE;KOREAN (한국어);简体中文;繁體中文;final column.
;NO SOUP IN THIS KITCHEN!;PAS DE SOUPE DANS CETTE CUISINE !;ES GIBT KEINE SUPPE!;¡EN ESTA COCINA NO HAY SOPA!;NIENTE ZUPPE IN QUESTA CUCINA!;NÃO TEM SOPA AQUI!;НИКАКОГО СУПА НА ЭТОЙ КУХНЕ!;W TEJ KUCHNI NIE MA ŻADNEJ ZUPY!;あんたに やる スープはないね!;이 주방에서 수프는 안 돼!;这间厨房禁汤！;廚房沒湯了!;
;YOU DON'T LIKE VEGGIE BURGERS?;TU N'AIMES PAS#LES BURGERS VÉGÉTARIENS ?;MAGST DU KEINE VEGETARISCHEN BURGER?;¿NO TE GUSTA LA HAMBURGUESA VEGETAL?;NON AMI GLI HAMBURGER VEGETALI?;NÃO GOSTA DE#HAMBÚRGUER VEGETARIANO?;ТЫ НЕ ЛЮБИШЬ ВЕГЕТАРИАНСКИЕ БУРГЕРЫ?;NIE LUBISZ WEGAŃSKICH BURGERÓW?;ベジタリアンバーガーは いかが?;채식 햄버거는 싫어해?;你不喜欢素食汉堡？;你不喜歡素食漢堡麼?;
;YOU DON'T LIKE BURGERS?;TU N'AIMES PAS LES BURGERS ?;MAGST DU KEINE BURGER?;¿NO TE GUSTAN LAS HAMBURGUESAS?;NON TI PIACCIONO GLI HAMBURGER?;NÃO GOSTA DE HAMBÚRGUER?;ТЕБЕ НЕ НРАВЯТСЯ БУРГЕРЫ?;NIE LUBISZ BURGERÓW?;ハンバーガーは おすきかな?;햄버거는 싫어해?;你不喜欢汉堡？;你不喜歡漢堡麼?;
;;;;;;;;;;;;;
;I'LL OPEN THE BRIDGE#IF YOU TAKE CARE#OF THOSE CREEPS!;JE RÉPARE LE PONT#SI TU T'OCCUPES#DE CES CRÔANAILLES !;ICH MACHE DIE BRÜCKE AUF,#WENN DU DICH UM DIESE#CREEPS KÜMMERST!;¡ABRIRÉ EL PUENTE#SI TE OCUPAS#DE ESAS SABANDIJAS!;SE TI SBARAZZI#DI QUEI VERMI,#IO APRO IL PONTE!;VOU ABRIR A PONTE#SE VOCÊ CUIDAR DAQUELES#MELIANTES!;Я ОТКРОЮ МОСТ,#ЕСЛИ ТЫ РАЗБЕРЕШЬСЯ#С ЭТИМИ БАНДИТАМИ!;WYSUNĘ MOST,#JEŻELI ZAJMIESZ SIĘ#TYMI STWORAMI!;あいつらを なんとか#してくれたら#はしを わたれるように してあげるケロン!;네가 저 오싹한 녀석들을#처리해준다면#다리를 개방해줄게!;你能解决那些讨厌鬼的话，#我就会把桥给打开！;如果你關心那些小溪的話#我就打開橋!;
;I KNEW YOU WERE#ONE OF THEM!;JE LE SAVAIS#TU ES DES LEURS !;ICH WUSSTE, DU GEHÖRST#ZU DENEN!;¡SABÍA QUE ESTABAS#CON ELLOS!;SAPEVO CHE ERI#COME LORO!;EU SABIA QUE VOCÊ#ERA UM DELES!;У МЕНЯ НЕ БЫЛО НИКАКИХ СОМНЕНИЙ,#ЧТО ТЫ С НИМИ ЗАОДНО!;WIEDZIAŁEM, ŻE NALEŻYSZ#DO NICH!;あんたも あいつらの#なかま だったんだな!;역시 너도#녀석들과 한패였구나!;我就知道你和他们事一伙的！;我知道你曾是他們中的一員!;
;NO BRIDGE FOR YOU!;PAS DE PONT POUR TOI !;VERGISS DIE BRÜCKE!;¡OLVÍDATE DEL PUENTE!;PUOI SCORDARTI IL PONTE!;NÃO VOU ABRIR A PONTE!;НИКАКОГО МОСТА ТЕБЕ!;ZAPOMNIJ O MOŚCIE!;だんじて ここは とおさん!;네겐 다리를 열어주지 않겠어!;桥不给你走了！;沒有橋了!;
;YAY, THANKS!#HERE YOU GO.;YOUPI, MERCI !#ET VÔALA.;SUPER, DANKE!#LOS GEHT‘S!;¡YUPI, GRACIAS!#PUEDES PASAR.;SÌ, GRAZIE!#ECCO QUA.;AH, VALEU!#PODE IR AGORA.;УРА, СПАСИБО!#ПРОХОДИ.;OCH, DZIĘKI!#PROSZĘ BARDZO.;ありがとう!#さぁ わたってケロン;만세, 고마워!#자, 이걸 건너.;耶，谢谢！#去吧。;好,謝謝!#請.;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;I MET THE WRONG CROWD,#WE EVEN GOT TATTOOS!#I'LL STAY AT THE HOTEL...;JE ME SUIS LAISSÉ ENTRAÎNER#PAR CETTE GRAINE DE VOYOU.#ON S'EST MÊME FAIT TATOUER !#JE VAIS RENTRER À L'HÔTEL.;ICH WAR MIT DEN FALSCHEN#LEUTEN UNTERWEGS, WURDE#SOGAR TÄTOWIERT!#ICH BLEIBE IM HOTEL...;ME HE JUNTADO CON MALA GENTE,#¡HASTA ME HE TATUADO!#ME QUEDARÉ EN EL HOTEL.;HO INCONTRATO LA GENTE SBAGLIATA,#CI SIAMO PERSINO TATUATI!#ME NE STARÒ IN HOTEL...;EU FUI INFLUENCIADO,#FIZ ATÉ TATUAGENS!#VOU FICAR NO HOTEL...;МНЕ ПОПАЛАСЬ ПЛОХАЯ КОМПАНИЯ,#МЫ ДАЖЕ НАБИЛИ ТАТУШКИ!#Я ОСТАНУСЬ В ОТЕЛЕ...;ZADAWAŁEM SIĘ ZE ZŁYMI LUDŹMI,#ZROBILIŚMY SOBIE NAWET TATUAŻE!#PÓJDĘ TERAZ DO HOTELU...;しょうたいが バレちゃった#タトゥーまで したのに!#ホテルで ゆっくりしよう…;나쁜 녀석들이랑 잠시 어울렸던 것뿐이야.#심지어 우린 문신까지 했었는데!#호텔에나 묵어야겠어...;我结识了错误的人，#甚至还纹了身！#我会回旅馆待着的……;我遇到了錯誤的人群,#我們甚至收到了詛咒!#我要在旅館呆著….;
;I'M SO SORRY!#I'LL GO BACK TO THE HOTEL...;NE ME TAPE PLUS !#JE RENTRE À L'HÔTEL...;ENTSCHULDIGUNG!#ICH GEHE WIEDER INS HOTEL...;¡LO SIENTO!#VOLVERÉ AL HOTEL...;MI DISPIACE!#ME NE TORNO IN HOTEL...;EU SINTO MUITO!#VOU VOLTAR PRO HOTEL...;МНЕ ТАК ЖАЛЬ!#Я ПОЙДУ ОБРАТНО В ОТЕЛЬ...;TAK MI PRZYKRO!#WRÓCĘ DO HOTELU...;わるいね!#ホテルに もどるとするよ…;정말 미안해!#호텔로 돌아갈게...;对不起啦！#我会回旅馆的……;太抱歉了!#我要回到旅館…;
;HUH?#I'LL GO DRY OFF AT THE HOTEL...;HUMM ?#JE VAIS ME SÉCHER À L'HÔTEL...;HÄ?#ICH GEHE INS HOTEL UND#TROCKNE MICH AB...;¿EH?#IRÉ A SECARME AL HOTEL...;EH?#VADO AD ASCIUGARMI IN HOTEL...;AHN?#VOU ME SECAR NO HOTEL...;ЧТО?#ПОЙДУ ОБСОХНУ В ОТЕЛЕ...;HĘ?#PÓJDĘ WYSUSZYĆ SIĘ DO HOTELU...;なんだ?#ホテルで かわかすと するか…;응?#호텔에서 말려야겠다...;啊？#我会回旅馆烘干的……;啊?#我要回到旅館烘乾…;
;;;;;;;;;;;;;
;NOT LEAVING MY ROOM!;JE NE BOUGE PLUS DE MA CHAMBRE !;ICH BLEIBE IM ZIMMER!;¡NO PIENSO IRME DE MI CUARTO!;NON MI MUOVO DALLA MIA CAMERA!;NÃO VOU SAIR DO QUARTO!;НЕ УЙДУ ИЗ СВОЕГО НОМЕРА!;NIE OPUSZCZĘ SWOJEGO POKOJU!;このへやは わたさねぇ!;내 방에서 떠나지 않을 거야!;我不会离开房间了！;不要離開我的房間!;
;I SAID I WAS SORRY!;J'AI DIT QUE J'ÉTAIS DÉSOLÉ !;ICH SAGTE, ES TUT MIR LEID!;¡HE DICHO QUE PERDÓN!;HO DETTO CHE MI DISPIACE!;EU JÁ PEDI DESCULPA!;ГОВОРЮ ЖЕ, МНЕ ЖАЛЬ!;PRZECIEŻ PRZEPROSIŁEM!;あやまったろ?!;미안하다고 했잖아!;我已经说过对不起了！;我說對不起!;
;I ALREADY SHOWERED, THANKS...;JE ME SUIS DÉJÀ DOUCHÉ, MERCI...;DANKE, ICH HABE SCHON GEDUSCHT!;YA ME HE DUCHADO, GRACIAS...;GRAZIE, MA HO GIÀ FATTO LA DOCCIA...;JÁ TOMEI BANHO, VALEU...;Я ТОЛЬКО ИЗ ДУША, СПАСИБО...;DZIĘKI, JUŻ BRAŁEM PRYSZNIC...;シャワーあびた ばっかだっつーの…;샤워는 이미 했는데. 고마워...;我洗过了，谢谢……;我已經洗過了,謝謝…;
;;;;;;;;;;;;;
;I LOST MY CREDIT CARD...#HELP ME FIND IT?;J'AI PERDU MA CARTE DE CRÉDIT...#TU PEUX M'AIDER À LA RETROUVER ?;ICH HABE MEINE KREDITKARTE VERLOREN...#HILFST DU MIR SUCHEN?;HE PERDIDO MI TARJETA DE CRÉDITO.#¿ME AYUDAS A BUSCARLA?;HO PERSO LA CARTA DI CREDITO...#MI AIUTI A TROVARLA?;PERDI MEU CARTÃO DE CRÉDITO...#ME AJUDE A ENCONTRAR?;Я НЕ МОГУ НАЙТИ СВОЮ КРЕДИТКУ...#ПОМОЖЕШЬ МНЕ НАЙТИ ЕЕ?;ZGUBIŁEM KARTĘ KREDYTOWĄ...#POMOŻESZ MI JĄ ZNALEŹĆ?;カードをなくしちゃって…#さがしてくれないか?;내 신용 카드를 잃어버렸어...#찾는 걸 도와주지 않을래?;我信用卡丢了……#能帮我找找吗？;我信用卡丟了…#能幫我找找麼?;
;JUST DROP ME HERE,#IT'S FINE...;JE VEUX PAS DE LIQUIDE,#JE VEUX MA CARTE DE CRÉDIT...;IST GUT. LASSEN SIE#MICH HIER RAUS...;DÉJAME AQUÍ MISMO,#NO PASA NADA...;LASCIAMI PURE QUI,#VA BENE...;VOU FICAR POR AQUI,#TUDO BEM...;ПРОСТО ВЫСАДИ МЕНЯ ЗДЕСЬ,#Я В ПОРЯДКЕ...;W PORZĄDKU,#WYSADŹ MNIE TUTAJ...;おっと もういい#もう じゅうぶんだ…;도와주지 않을 거면 날 내버려 둬.#괜찮으니까...;就让我留在这吧，#没事的……;把我放這把,#沒事的…;
;HAHA!;HA HA !;HAHA!;¡JA, JA!;AH-HA!;HAHA!;ХА-ХА!;HA HA!;アハハハ!;하하!;哈哈！;哈哈!;
;FOUND IT, THANKS SO MUCH!#TIME TO GET SOME BURGERS.;MERCI, JE L'AI TROUVÉE !#TOUT ÇA M'A OUVERT L'APPÉTIT.;DA IST SIE JA, VIELEN DANK!#ZEIT FÜR EIN PAAR BURGER.;¡ENCONTRADA, MUCHAS GRACIAS!#HORA DE ZAMPAR HAMBURGUESAS.;L'HAI TROVATA, GRAZIE INFINITE!#ORA MI FARÒ QUALCHE HAMBURGER.;ENCONTREI, VALEU MESMO!#VOU PEDIR UNS HAMBÚRGUERES.;НАШЛАСЬ, ОГРОМНОЕ СПАСИБО!#ПОРА ПЕРЕКУСИТЬ БУРГЕРАМИ.;MAM JĄ, WIELKIE DZIĘKI!#CZAS NA BURGERY.;ありがとう みつかったよ!#さぁ ハンバーガーでも たべにいくか;찾았어, 정말 고마워!#이제 햄버거 좀 사 먹으러 가야겠다!;找到了，非常感谢！#是时候去吃汉堡了。;找到了,非常感謝!#是時候去吃點漢堡了.;
;HOT!!!;TU BRÛLES !;HEISS!;¡¡¡CALIENTE!!!;FUOCHISSIMO!!!;QUENTE!!!;ГОРЯЧО!!!;GORĄCO!!!;ほらもう めのまえ!!!;뜨거워!!!;热啊！！！;熱!!!;
;REAL WARM!;TU CHAUFFES !;SEHR WARM!;¡CALENTITO!;FUOCO!;BEM MORNO!;ЕЩЕ ТЕПЛЕЕ!;BARDZO CIEPŁO!;いいかんじに ちかい!;따스해!;真暖和！;太暖和了!;
;LITTLE WARMER...;UN PEU PLUS CHAUD...;ES WIRD WÄRMER...;ALGO MÁS CALIENTE...;FUOCHERELLO...;TÁ ESQUENTANDO...;ТЕПЛЕЕ...;CIEPLEJ...;ちょっと ちかづいた;약간 따뜻해...;有点热……;有點熱…;
;COLD.;FROID.;KALT.;FRÍO.;ACQUA.;FRIO.;ХОЛОДНО.;ZIMNO.;はなれちゃった;추워.;冷啊。;冷.;
;ABSOLUTE ZERO,#COLD AS ICE!;TU GÈLES !;ABSOLUT NULL,#EISKALT!;TÉMPANO TOTAL,#¡FRÍO COMO EL HIELO!;ACQUAZZONE,#DILUVIO UNIVERSALE!;ZERO GRAU,#GELADO COMO GELO!;АБСОЛЮТНЫЙ НОЛЬ,#АЖ МОРОЗНО!;BARDZO ZIMNO,#ZERO ABSOLUTNE!;めっちゃ とおい#かすっても いない!;분명 0도일 거야.#얼음처럼 추워!;刚好零度，冻若冰兔！;整整零度,#和冰一樣冷!;
;;;;;;;;;;;;;
;I LOVE SPENDING MONEY...#ON FOOD!;JE DÉPENSE TOUT MON ARGENT...#EN BURGERS !;ICH LIEBE ES, GELD AUSZUGEBEN...#FÜR ESSEN!;ME ENCANTA DERROCHAR...#¡EN COMIDA!;ADORO SPENDERE SOLDI...#IN CIBO!;ADORO GASTAR DINHEIRO...#COM COMIDA!;Я ЛЮБЛЮ ТРАТИТЬ ДЕНЬГИ...#НА ЕДУ!;UWIELBIAM WYDAWAĆ PIENIĄDZE...#NA JEDZENIE!;たべることに おかねを つぎこむって…#サイコー!;난 음식을 사는 데...#돈 쓰는 걸 좋아해!;我喜欢把钱……花在吃上面！;我喜歡把錢…#花在食物上!;
;WOW, GRUMPY!#YOU SHOULD#EAT SOMETHING.;ON EST DE MAUVAISE HUMEUR !#ON A SAUTÉ SON PETIT-DÉJEUNER ?;WOW, IGITT!#DU MUSST WOHL#WAS ESSEN.;¡HUY, QUÉ HUMOS!#DEBERÍAS#COMER ALGO.;EHI, CHE CARATTERE!#DOVRESTI#MANGIARE QUALCOSA.;NOSSA, CARA!#VOCÊ DEVERIA#COMER ALGUMA COISA.;ЭЙ, БРЮЗГА!#ТЕБЕ НАДО БЫ#СЪЕСТЬ ЧТО-НИБУДЬ.;WOW, ZRZĘDO!#LEPIEJ#COŚ ZJEDZ.;きげんでも わるいのか?!#なにか くちに#いれたほうが いいぞ;이런, 성격 나쁜데!#너 뭐 좀#먹어야겠다.;哇，暴脾气！#你该吃点东西。;哇,你心情不太好!#你該#吃點東西.;
;WHAT'S UP?;QUOI DE NEUF ?;WAS GIBT‘S?;¿QUÉ PASA?;CHE SUCCEDE?;QUE FOI?;КАК ДЕЛА?;CO JEST?;なんだよ?;무슨 일이야?;你怎么回事？;怎麼了?;
;;;;;;;;;;;;;
;HA! IT'S YOU.#I'LL GO TO THE HOTEL!;AH ! JE ME SUIS FAIT GRILLER.#D'ACCORD, JE RENTRE À L'HÔTEL !;HA! DU BIST ES!#ICH GEHE INS HOTEL.;¡JA! ERES TÚ.#¡IRÉ AL HOTEL!;AH! SEI TU.#IO VADO IN HOTEL!;HA! É VOCÊ.#EU VOU PRO HOTEL!;ХА! ЭТО ТЫ.#Я ПОЙДУ В ОТЕЛЬ!;HA! TO TY?#IDĘ DO HOTELU!;なんだ きみか#ホテルへ いこうか!;하! 반가워.#호텔로 가야겠다!;哈！是你。#我会去旅馆的！;哈!是你.#我要去旅館!;
;THANKS?;MERCI ?;DANKE...?;¿GRACIAS?;OH, GRAZIE.;OBRIGADO?;СПАСИБО?;MAM DZIĘKOWAĆ?;どうもな?;고마워 해야하나?;谢谢？;謝謝?;
;PUT ME BACK!;J'ÉTAIS MIEUX SOUS MA CAISSE !;ICH WILL WIEDER DRUNTER!;¡DÉJAME DONDE ESTABA!;RIMETTIMI SOTTO!;ME PÕE DE VOLTA!;ПОЛОЖИ МЕНЯ ОБРАТНО!;WSADŹ MNIE Z POWROTEM!;ほっといてくれ!;차라리 다시 상자에 숨겨줘!;把我放回箱子里！;把我放回去!;
;;;;;;;;;;;;;
;HA HA HA!#THIS PLACE RULES.;HA HA HA !#ÇA DÉCHIRE ICI.;HA-HA-HA!#VOLL FETT HIER.;¡JA, JA, JA!#ESTE SITIO MOLA.;AH AH AH!#QUESTO POSTO È MITICO.;HA HA HA!#QUE LUGAR IRADO.;ХА-ХА-ХА!#ЭТО МЕСТО РУЛИТ.;HA HA HA!#TO MIEJSCE JEST CZADOWE.;まじ ヤベェ!#ここ おわってんな;하 하 하!#여기 멋진데.;哈哈哈！#这地方太棒了。;哈哈哈!#這個地方絕了.;
;HA HA!;HA HA !;HA-HA!;¡JA, JA!;AH AH!;HA HA!;ХА-ХА!;HA HA!;ブヒー!;하 하!;哈哈！;哈哈!;
;I SHOULD'VE STAYED#UNDER THAT BOX!;SI J'AURAIS SU,#J'AURAIS RESTÉ SOUS MA CAISSE !;ICH HÄTTE UNTER DER#KISTE BLEIBEN SOLLEN!;¡DEBERÍA HABERME QUEDADO#BAJO AQUELLA CAJA!;SAREI DOVUTO RESTARE#SOTTO QUELLA CASSA!;EU DEVIA TER FICADO#EMBAIXO DA CAIXA!;МНЕ СТОИЛО ОСТАВАТЬСЯ#ПОД ТОЙ КОРОБКОI428Й!;TRZEBA BYŁO ZOSTAĆ#POD SKRZYNIĄ!;あんな ハコに#かくれるんじゃ なかった!;그 상자 아래에#계속 숨어있을걸!;我应该待在那箱子下面的！;你應該呆在#那個盒子下面!;
;;;;;;;;;;;;;
;HEY, OVER HERE!#THEY MESSED UP#THE FACTORY BRIDGE!;HÉ, VOUS LÀ-BAS !#ILS ONT COUPÉ#LE PONT DE L'USINE !;HIER DRÜBEN!#DIE HABEN DIE BRÜCKE#KAPUTT GEMACHT!;¡EH, AQUÍ!#¡SE HAN CARGADO EL#PUENTE DE LA FÁBRICA!;EHI, LAGGIÙ!#HANNO DANNEGGIATO#IL PONTE DELLA FABBRICA!;EI, AQUI!#ELES SABOTARAM A#PONTE DA FÁBRICA!;ЭЙ, ТАМ!#ОНИ РАЗЛОМАЛИ#ЗАВОДСКОЙ МОСТ!;HEJ, TUTAJ!#ZEPSUŁ SIĘ#MOST DO FABRYKI!;おーい、ここだ!#はしが とんでもないことに#なってるんだよ!;저기, 여기야!#그 녀석들이 공장 다리를#엉망으로 만들어버렸어!;嘿，这边！#他们把工厂的桥弄坏了！;嗨,這呢!#他們弄壞了#工廠的橋!;
;THEY POLLUTE THE WATER,#LAUGH AT MY LAWSUIT,#AND NOW I CAN'T GO BACK?;J'AI PORTÉ PLAINTE CONTRE L'USINE,#MAIS ILS CONTINUENT À POLLUER L'EAU,#ET ILS FONT OBSTRUCTION À LA JUSTICE.;SIE VERGIFTEN DAS WASSER,#LACHEN ÜBER MEINE KLAGE, UND#JETZT KANN ICH NICHT ZURÜCK?;CONTAMINAN EL AGUA,#SE RÍEN DE MI DENUNCIA#¿Y AHORA NO PUEDO VOLVER?;INQUINANO L'ACQUA,#RIDONO DELLA MIA AZIONE LEGALE#E ORA NON MI FANNO TORNARE INDIETRO?;ELES POLUEM A ÁGUA,#IGNORAM MEU PROCESSO,#E AGORA EU NÃO POSSO VOLTAR?;ОНИ ЗАГРЯЗНЯЮТ ВОДУ,#СМЕЮТСЯ НАД МОИМ КОСТЮМОМ,#А ТЕПЕРЬ Я ЕЩЕ И НЕ МОГУ ВЕРНУТЬСЯ!;ZANIECZYSZCZAJĄ WODĘ,#ŚMIEJĄ SIĘ Z MOJEGO POZWU,#A TERAZ JESZCZE NIE MOGĘ WRÓCIĆ?;かわの みずを よごし#わたしの ほうてい まで バカにして#なのに もどれないって?;그 녀석들은 물을 오염시키곤,#내가 고소하겠다는 걸 비웃었어.#그런데 이제 돌아갈 수도 없다니!;他们污染了水，#还嘲笑我的律师服，#现在我回不去了?;他們污染了水,＃嘲笑我訴訟,＃現在我不能回去了?;
;WATCH IT!;L'EAU EST UNE MATIÈRE PRÉCIEUSE !;PASS DOCH AUF!;¡CUIDADO!;BASTA!;CUIDADO!;ОСТОРОЖНО!;OSTROŻNIE!;きをつけてくれ!;조심해!;看着点！;;
;SEE YOU IN COURT!;JE VOUS VERRAI AU TRIBUNAL !;WIR SEHEN UNS VOR GERICHT!;¡NOS VEMOS EN LOS JUZGADOS!;CI VEDIAMO IN TRIBUNALE!;VOU TE PROCESSAR!;УВИДИМСЯ В СУДЕ!;DO ZOBACZENIA W SĄDZIE!;ほうていで あおう!;법정에서 보자!;我们法庭见！;法庭見!;
;FINALLY!;ENFIN !;ENDLICH!;¡POR FIN!;FINALMENTE!;FINALMENTE!;НАКОНЕЦ-ТО!;NARESZCIE!;やっとだ!;드디어!;终于！;終於!;
;I'M GOING TO SUE#THAT FACTORY!;JE VAIS PRÉPARER MA#PLAIDOIRIE CONTRE L'USINE !;ICH VERKLAGE#DIESE FABRIK!;¡VOY A DENUNCIAR A#LOS DE ESA FÁBRICA!;FARÒ CAUSA A#QUELLA FABBRICA!;VOU PROCESSAR#AQUELA FÁBRICA!;Я ЗАСУЖУ#ЭТОТ ЗАВОД!;ZAMIERZAM POZWAĆ#TĘ FABRYKĘ!;あの かいしゃを#うったえて やる!;그 공장을#고소할 거야!;我要去告那家工厂了！;我要去告#那家工廠!;
;MY SUIT!;MA ROBE D'AVOCAT !;MEIN ANZUG!;¡MI ROPA!;IL MIO ABITO!;MEU TERNO!;МОЙ КОСТЮМ!;MOJE UBRANIE!;スーツが!;내 옷이!;我的衣服！;我的律師服!;
;SEE YOU IN COURT!;JE VOUS VERRAI AU TRIBUNAL !;WIR SEHEN UNS VOR GERICHT!;¡NOS VEMOS EN LOS JUZGADOS!;CI VEDIAMO IN TRIBUNALE!;VOU TE PROCESSAR!;УВИДИМСЯ В СУДЕ!;WIDZIMY SIĘ W SĄDZIE!;ほうていで あおう!;법정에서 보자!;我们法庭见！;法庭見!;
;;;;;;;;;;;;;
;THERE'S A HOTEL NOW?#I'LL HIDE THERE.;IL Y A UN HÔTEL ?#JE VAIS M'Y CACHER !;ES GIBT EIN HOTEL?#DA VERSTECKE ICH MICH.;¿AHORA HAY UN HOTEL?#ME ESCONDERÉ ALLÍ.;C'È UN HOTEL ADESSO?#MI NASCONDERÒ LÀ!;TEM UM HOTEL AGORA?#VOU ME ESCONDER LÁ.;ТАМ ТЕПЕРЬ ОТЕЛЬ?#Я СПРЯЧУСЬ ТАМ.;TERAZ JEST TU HOTEL?#UKRYJĘ SIĘ TAM.;ホテルが?#こんどは そこに かくれるか;저쪽에 호텔이 있다고?#이젠 거기서 숨어야겠어.;现在开了间旅馆？#我会躲在那的。;那有一家旅館?#我要藏那.;
;AAAAHHHHHHHHHHHHHHHHHHHHGG!#I'LL HIDE AT THE HOTEL.;AAAARRRRRRRRRRRRRRRRRRRRGG !#JE VAIS ME CACHER À L'HÔTEL.;AAAAAAAAAAAAAAHHHHHHHHHHGG!#ICH VERSTECKE MICH IM HOTEL.;¡AAAAHHHHHHHHHHHHHHHHHHHHGG!#ME ESCONDERÉ EN EL HOTEL.;AAAAAAAAAAAAAAAAAAAAAHHHHH!#MI NASCONDERÒ NELL'HOTEL.;AAAAHHHHHHHHHHHHHHHHHHHHGG!#VOU ME ESCONDER NO HOTEL.;А-А-А-АХ-Х-Х-Х-Х-Х-Х-Х-Х-Х!#Я СПРЯЧУСЬ В ОТЕЛЕ.;AAAAHHHHHHHHHHHHHHHHHHHHGG!#UKRYJĘ SIĘ W HOTELU.;いってええええええええええええええええ!#ホテルに ひなんだ!;아야아아아아아아아아아아아아아아!#호텔에 가서 숨어야겠어.;啊啊啊啊啊啊啊啊啊啊啊啊！#我会躲在旅馆里的。;啊啊啊啊!#我要藏那個旅館裡.;
;AHAHAHHHHHHG!!;AHAHARRRRRRG !;AHAHAHHHHHHG!;¡AHAHAHHHHHHG!!;AH AH AAAHH!!!;AHAHAHHHHHHG!!!;А-ХА-ХА-ХА-Х-Х-Х!;AHAHAHHHHHHG!;つめてえええええええ!!;아야아아아아아아아아!;啊啊啊啊啊啊！！;啊啊啊啊!;
;;;;;;;;;;;;;
;I GOT AN UPGRADE#TO THE CORNER SUITE!;LE GÉRANT M'A OFFERT#LA SUITE AVEC SALLE DE BAINS !;ICH HABE EIN UPGRADE#FÜR DIE ECKSUITE!;¡ME HAN PASADO#A LA SUITE DE LA ESQUINA!;MI HANNO CONCESSO#LA SUITE D'ANGOLO!;GANHEI UM UPGRADE#PRA SUÍTE DO CANTINHO!;МНЕ ПОВЫСИЛИ КАТЕГОРИЮ НОМЕРА#ДО УГЛОВОГО ЛЮКСА!;DALI MI#NAROŻNY APARTAMENT!;かどの へやに#グレードアップ したぜ!;끝쪽 스위트룸으로#업그레이드 했어!;我房间升级为角落套房了！;經理給我提供了#一個帶浴室的套房!;
;AAAAHHHHHHHHHHHHHHHHHHHHGG!;AAAARRRRRRRRRRRRRRRRRRRRGG !;AAAAHHHHHHHHHHHHHHHHHHHHGG!;¡AAAAHHHHHHHHHHHHHHHHHHHHGG!;AAAAAAAAAAAAAAAAAAAAAHHHHH!;AAAAHHHHHHHHHHHHHHHHHHHHGG!;А-А-А-АХ-Х-Х-Х-Х-Х-Х-Х-Х-Х!;AAAAHHHHHHHHHHHHHHHHHHHHGG!;いってええええええええええええええええ!;아야아아아아아아아아아아아아아아!;啊啊啊啊啊啊啊啊啊啊啊啊！;嗚嗚嗚嗚!;
;AHAHAHHHHHHG!!;AHAHARRRRRRG !;AHAHAHHHHHHG!;¡¡AHAHAHHHHHHG!!;AH AH AAAAAAAAHHH!!!;AHAHAHHHHHHG!!!;А-ХА-ХА-ХА-Х-Х-Х!;AHAHAHHHHHHG!;つめてえええええええ!!;이러어어어어어어언!;啊啊啊啊啊啊！！;啊啊天哪!!;
;;;;;;;;;;;;;
;EXPLORING IS MY LIFE!;J'AI EXPLORÉ, J'AI VU, J'AI CONQUIS !;FORSCHUNG IST MEIN LEBEN!;¡EXPLORAR ES MI VIDA!;L'ESPLORAZIONE È TUTTO PER ME!;MINHA VIDA É EXPLORAR!;ИССЛЕДОВАНИЯ... МОЯ ЖИЗНЬ!;EKSPLORACJA TO CAŁE MOJE ŻYCIE!;たんけんは いきがいだ!;탐험은 내 인생이야!;探索就是我的人生！;我的生命就在於探索!;
;LEAVE ME ALONE!;JE VOUS DÉCLARE PERSONA NON GRATA !;LASS MICH IN FRIEDEN!;¡DÉJAME EN PAZ!;LASCIAMI IN PACE!;ME DEIXA EM PAZ!;ОСТАВЬ МЕНЯ В ПОКОЕ!;ZOSTAW MNIE W SPOKOJU!;わたしに かまわないでくれ!;날 내버려둬!;让我自个待会！;讓我靜一靜!;
;THIS PLACE IS MINE!;JE DÉFENDRAI CETTE COLONIE#JUSQU'À LA FIN !;DIESER ORT GEHÖRT MIR!;¡ESTE SITIO ES MÍO!;QUESTO POSTO È MIO!;ESSE LUGAR É MEU!;ЭТО МЕСТО ПРИНАДЛЕЖИТ МНЕ!;TO MIEJSCE NALEŻY DO MNIE!;ここは わたしの とちだ!;여긴 내 거라고!;这是我的地盘！;這是我的地盤!;
;;;;;;;;;;;;;
;WHAT IS#IS WITHIN...;LA VÉRITÉ#EST AILLEURS...;WAS IST,#IST DRINNEN...;¿QUÉ HAY#DENTRO DE...?;CIÒ CHE C'È#È DENTRO...;O QUE EXISTE#ESTÁ DENTRO...;ВСЕ СУЩЕЕ#СОКРЫТО ВНУТРИ...;TO COŚ#KRYJE SIĘ W ŚRODKU...;コタエは いつも#めのまえに...;진실은#네 안에 있다...;真相#在里面……;真相＃是…;
